Output_file,variable,description,units,stat,calc,plot_type,ylabel_0,ylabel_1,xlabel,title
statvar,basin_infil,basin area-weighted average for infiltration to the capillary reservoirs,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average for infiltration to the capillary reservoirs
statvar,basin_ssr2gw,basin area-weighted average drainage from gravity reservoirs to gwrs,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average drainage from gravity reservoirs to gwrs
statvar,basin_ssr2gw,basin area-weighted average drainage from gravity reservoirs to gwrs,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average drainage from gravity reservoirs to gwrs
statvar,basin_ssr2gw,basin area-weighted average drainage from gravity reservoirs to gwrs,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average drainage from gravity reservoirs to gwrs
statvar,basin_perv_et,basin area-weighted average of pervious area et,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average of pervious area et
statvar,basin_perv_et,basin area-weighted average of pervious area et,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average of pervious area et
statvar,basin_perv_et,basin area-weighted average of pervious area et,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average of pervious area et
csv,basinpweqv,volume of water in snowpack storage,l3,mean_monthly,mean,box,Monthly average, cubic feet,,volume of water in snowpack storage
csv,basinpweqv,volume of water in snowpack storage,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volume of water in snowpack storage
csv,basinpweqv,volume of water in snowpack storage,l3,mean_annual,mean,box,Annual average, cubic feet,,volume of water in snowpack storage
csv,basinsz2gw,potential volumetric flow rate of gravity drainage from the soil zone to the unsaturated zone (before conditions of the unsaturated and saturated zones are applied),l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,potential volumetric flow rate of gravity drainage from the soil zone to the unsaturated zone (before conditions of the unsaturated and saturated zones are applied)
csv,basinsz2gw,potential volumetric flow rate of gravity drainage from the soil zone to the unsaturated zone (before conditions of the unsaturated and saturated zones are applied),l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,potential volumetric flow rate of gravity drainage from the soil zone to the unsaturated zone (before conditions of the unsaturated and saturated zones are applied)
csv,basinsz2gw,potential volumetric flow rate of gravity drainage from the soil zone to the unsaturated zone (before conditions of the unsaturated and saturated zones are applied),l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,potential volumetric flow rate of gravity drainage from the soil zone to the unsaturated zone (before conditions of the unsaturated and saturated zones are applied)
csv,basinpervet,volumetric flow rate of evapotranspiration from pervious areas,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of evapotranspiration from pervious areas
csv,basinpervet,volumetric flow rate of evapotranspiration from pervious areas,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of evapotranspiration from pervious areas
csv,basinpervet,volumetric flow rate of evapotranspiration from pervious areas,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of evapotranspiration from pervious areas
csv,basinsoiltogw,volumetric flow rate of direct gravity drainage from excess capillary water to the unsaturated zone,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of direct gravity drainage from excess capillary water to the unsaturated zone
csv,basinsoiltogw,volumetric flow rate of direct gravity drainage from excess capillary water to the unsaturated zone,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of direct gravity drainage from excess capillary water to the unsaturated zone
csv,basinsoiltogw,volumetric flow rate of direct gravity drainage from excess capillary water to the unsaturated zone,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of direct gravity drainage from excess capillary water to the unsaturated zone
csv,basininfil,"volumetric flow rate of soil infiltration including precipitation, snowmelt, and cascading hortonian flow",l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,"volumetric flow rate of soil infiltration including precipitation, snowmelt, and cascading hortonian flow"
csv,basininfil,"volumetric flow rate of soil infiltration including precipitation, snowmelt, and cascading hortonian flow",l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,"volumetric flow rate of soil infiltration including precipitation, snowmelt, and cascading hortonian flow"
csv,basininfil,"volumetric flow rate of soil infiltration including precipitation, snowmelt, and cascading hortonian flow",l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,"volumetric flow rate of soil infiltration including precipitation, snowmelt, and cascading hortonian flow"
csv,kkiter,current iteration in gsflow simulation,none,mean_monthly,mean,box,Monthly average, none,,current iteration in gsflow simulation
csv,kkiter,current iteration in gsflow simulation,none,mean_annual,mean,timeseries,Annual average, none,,current iteration in gsflow simulation
csv,kkiter,current iteration in gsflow simulation,none,mean_annual,mean,box,Annual average, none,,current iteration in gsflow simulation
csv,uzf_del_stor,change in unsaturated-zone storage,l3,mean_monthly,mean,box,Monthly average, cubic feet,,change in unsaturated-zone storage
csv,uzf_del_stor,change in unsaturated-zone storage,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,change in unsaturated-zone storage
csv,uzf_del_stor,change in unsaturated-zone storage,l3,mean_annual,mean,box,Annual average, cubic feet,,change in unsaturated-zone storage
csv,basinppt,volumetric flow rate of precipitation on modeled region,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of precipitation on modeled region
csv,basinppt,volumetric flow rate of precipitation on modeled region,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of precipitation on modeled region
csv,basinppt,volumetric flow rate of precipitation on modeled region,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of precipitation on modeled region
csv,basinszreject,volumetric flow rate of gravity drainage from the soil zone not accepted due to conditions in the unsaturated and saturated zones,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of gravity drainage from the soil zone not accepted due to conditions in the unsaturated and saturated zones
csv,basinszreject,volumetric flow rate of gravity drainage from the soil zone not accepted due to conditions in the unsaturated and saturated zones,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of gravity drainage from the soil zone not accepted due to conditions in the unsaturated and saturated zones
csv,basinszreject,volumetric flow rate of gravity drainage from the soil zone not accepted due to conditions in the unsaturated and saturated zones,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of gravity drainage from the soil zone not accepted due to conditions in the unsaturated and saturated zones
csv,basinsroff,volumetric flow rate of surface runoff to streams,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of surface runoff to streams
csv,basinsroff,volumetric flow rate of surface runoff to streams,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of surface runoff to streams
csv,basinsroff,volumetric flow rate of surface runoff to streams,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of surface runoff to streams
csv,basinseepout,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone
csv,basinseepout,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone
csv,basinseepout,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone
csv,basingravstor,volume of water in gravity reservoirs of the soil zone,l3,mean_monthly,mean,box,Monthly average, cubic feet,,volume of water in gravity reservoirs of the soil zone
csv,basingravstor,volume of water in gravity reservoirs of the soil zone,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volume of water in gravity reservoirs of the soil zone
csv,basingravstor,volume of water in gravity reservoirs of the soil zone,l3,mean_annual,mean,box,Annual average, cubic feet,,volume of water in gravity reservoirs of the soil zone
csv,stream_leakage,volumetric flow rate of stream leakage to the unsaturated and saturated zones,l3,mean_monthly,mean,box,Average monthly flow, cubic feet,,volumetric flow rate of stream leakage to the unsaturated and saturated zones
csv,stream_leakage,volumetric flow rate of stream leakage to the unsaturated and saturated zones,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volumetric flow rate of stream leakage to the unsaturated and saturated zones
csv,stream_leakage,volumetric flow rate of stream leakage to the unsaturated and saturated zones,l3,mean_annual,mean,box,Average flow, cubic feet,,volumetric flow rate of stream leakage to the unsaturated and saturated zones
csv,gwflow2strms,volumetric flow rate of ground-water discharge to streams,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of ground-water discharge to streams
csv,gwflow2strms,volumetric flow rate of ground-water discharge to streams,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of ground-water discharge to streams
csv,gwflow2strms,volumetric flow rate of ground-water discharge to streams,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of ground-water discharge to streams
csv,basingw2sz,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone
csv,basingw2sz,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone
csv,basingw2sz,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of ground-water discharge from the saturated zone to the soil zone
csv,uzf_infil,volumetric flow rate of gravity drainage to the unsaturated and saturated zones,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of gravity drainage to the unsaturated and saturated zones
csv,uzf_infil,volumetric flow rate of gravity drainage to the unsaturated and saturated zones,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of gravity drainage to the unsaturated and saturated zones
csv,uzf_infil,volumetric flow rate of gravity drainage to the unsaturated and saturated zones,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of gravity drainage to the unsaturated and saturated zones
csv,sat_change_stor,change in saturated-zone storage,l3,mean_monthly,mean,box,Monthly average, cubic feet,,change in saturated-zone storage
csv,sat_change_stor,change in saturated-zone storage,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,change in saturated-zone storage
csv,sat_change_stor,change in saturated-zone storage,l3,mean_annual,mean,box,Annual average, cubic feet,,change in saturated-zone storage
csv,basinintcpevap,volumetric flow rate of evaporation of intercepted precipitation,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of evaporation of intercepted precipitation
csv,basinintcpevap,volumetric flow rate of evaporation of intercepted precipitation,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of evaporation of intercepted precipitation
csv,basinintcpevap,volumetric flow rate of evaporation of intercepted precipitation,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of evaporation of intercepted precipitation
csv,basindnflow,volumetric flow rate of cascading dunnian runoff and interflow to hrus,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of cascading dunnian runoff and interflow to hrus
csv,basindnflow,volumetric flow rate of cascading dunnian runoff and interflow to hrus,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of cascading dunnian runoff and interflow to hrus
csv,basindnflow,volumetric flow rate of cascading dunnian runoff and interflow to hrus,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of cascading dunnian runoff and interflow to hrus
csv,basindunnian,volumetric flow rate of dunnian runoff to streams,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of dunnian runoff to streams
csv,basindunnian,volumetric flow rate of dunnian runoff to streams,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of dunnian runoff to streams
csv,basindunnian,volumetric flow rate of dunnian runoff to streams,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of dunnian runoff to streams
csv,basinnetgwwel,net groundwater pumping in volume of modflow units,l3,mean_monthly,mean,box,Monthly average, cubic feet,,net groundwater pumping in volume of modflow units
csv,basinnetgwwel,net groundwater pumping in volume of modflow units,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,net groundwater pumping in volume of modflow units
csv,basinnetgwwel,net groundwater pumping in volume of modflow units,l3,mean_annual,mean,box,Annual average, cubic feet,,net groundwater pumping in volume of modflow units
csv,basininterflow,volumetric flow rate of slow interflow to streams,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of slow interflow to streams
csv,basininterflow,volumetric flow rate of slow interflow to streams,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of slow interflow to streams
csv,basininterflow,volumetric flow rate of slow interflow to streams,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of slow interflow to streams
csv,basininfil_tot,"volumetric flow rate of soil infiltration into capillary reservoirs including precipitation, snowmelt, and cascading hortonian and dunnian runoff and interflow minus infiltration to preferential-flow reservoirs",l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,"volumetric flow rate of soil infiltration into capillary reservoirs including precipitation, snowmelt, and cascading hortonian and dunnian runoff and interflow minus infiltration to preferential-flow reservoirs"
csv,basininfil_tot,"volumetric flow rate of soil infiltration into capillary reservoirs including precipitation, snowmelt, and cascading hortonian and dunnian runoff and interflow minus infiltration to preferential-flow reservoirs",l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,"volumetric flow rate of soil infiltration into capillary reservoirs including precipitation, snowmelt, and cascading hortonian and dunnian runoff and interflow minus infiltration to preferential-flow reservoirs"
csv,basininfil_tot,"volumetric flow rate of soil infiltration into capillary reservoirs including precipitation, snowmelt, and cascading hortonian and dunnian runoff and interflow minus infiltration to preferential-flow reservoirs",l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,"volumetric flow rate of soil infiltration into capillary reservoirs including precipitation, snowmelt, and cascading hortonian and dunnian runoff and interflow minus infiltration to preferential-flow reservoirs"
csv,basinsoilmoist,volume of water in capillary reservoirs of the soil zone,l3,mean_monthly,mean,box,Monthly average, cubic feet,,volume of water in capillary reservoirs of the soil zone
csv,basinsoilmoist,volume of water in capillary reservoirs of the soil zone,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volume of water in capillary reservoirs of the soil zone
csv,basinsoilmoist,volume of water in capillary reservoirs of the soil zone,l3,mean_annual,mean,box,Annual average, cubic feet,,volume of water in capillary reservoirs of the soil zone
csv,basinintcpstor,volume of intercepted percipitation in plant-canopy reservoirs,l3,mean_monthly,mean,box,Monthly average, cubic feet,,volume of intercepted percipitation in plant-canopy reservoirs
csv,basinintcpstor,volume of intercepted percipitation in plant-canopy reservoirs,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volume of intercepted percipitation in plant-canopy reservoirs
csv,basinintcpstor,volume of intercepted percipitation in plant-canopy reservoirs,l3,mean_annual,mean,box,Annual average, cubic feet,,volume of intercepted percipitation in plant-canopy reservoirs
csv,gw_inout,volumetric flow rate to saturated zone along external boundary (negative value is flow out of modeled region),l3,mean_monthly,mean,box,Average monthly flow, cubic feet,,volumetric flow rate to saturated zone along external boundary (negative value is flow out of modeled region)
csv,gw_inout,volumetric flow rate to saturated zone along external boundary (negative value is flow out of modeled region),l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volumetric flow rate to saturated zone along external boundary (negative value is flow out of modeled region)
csv,gw_inout,volumetric flow rate to saturated zone along external boundary (negative value is flow out of modeled region),l3,mean_annual,mean,box,Average flow, cubic feet,,volumetric flow rate to saturated zone along external boundary (negative value is flow out of modeled region)
csv,basinprefstor,volume of water stored in preferential-flow reservoirs of the soil zone,l3,mean_monthly,mean,box,Monthly average, cubic feet,,volume of water stored in preferential-flow reservoirs of the soil zone
csv,basinprefstor,volume of water stored in preferential-flow reservoirs of the soil zone,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,volume of water stored in preferential-flow reservoirs of the soil zone
csv,basinprefstor,volume of water stored in preferential-flow reservoirs of the soil zone,l3,mean_annual,mean,box,Annual average, cubic feet,,volume of water stored in preferential-flow reservoirs of the soil zone
